title,abstract,keywords,year,cleaned
"Artificial Intelligence, Policing and Ethics - a best practice model for
AI enabled policing in Australia","The application of Artificial Intelligence (AI) to policing processes
and practices has transformative potential. Despite its potential,
utilising AI for policing also comes with risks and challenges. The
objective of this article is to provide a starting point for the
development of a best practice model for the application of AI to
policing in Australia. Such a best practice model would be the first of
its kind and could put Australian police departments at the forefront of
AI application - enabling Australian police to deploy AI in a way that
has broad stakeholder support, maximising effectiveness and ensuring
ethical concerns are adequately addressed",Artificial Intelligence; law; policing; best practice; governance,2021,"Artificial Intelligence, Policing and Ethics - a best practice model for
AI enabled policing in Australia The application of Artificial Intelligence (AI) to policing processes
and practices has transformative potential. Despite its potential,
utilising AI for policing also comes with risks and challenges. The
objective of this article is to provide a starting point for the
development of a best practice model for the application of AI to
policing in Australia. Such a best practice model would be the first of
its kind and could put Australian police departments at the forefront of
AI application - enabling Australian police to deploy AI in a way that
has broad stakeholder support, maximising effectiveness and ensuring
ethical concerns are adequately addressed Artificial Intelligence; law; policing; best practice; governance"
"Deep Learning Approaches for Forensics DNA Profiling: a Replication
Study",,"Artificial Intelligence (AI); Deep Learning (DL); DNA Profiling;
Criminal Investigation",2025,"Deep Learning Approaches for Forensics DNA Profiling: a Replication
Study  Artificial Intelligence (AI); Deep Learning (DL); DNA Profiling;
Criminal Investigation"
"Protective factors and desistance factors in sexual offenders:
Articulation and clarification","Forensic literature has witnessed a plethora of risk assessment tools,
emphasizing on factors increasing recidivism risk. Thus, assessment and
care practices of individuals who have offended have gradually evolved
when professionals no longer ask what doesn't work (Nothing works) but
what does work (What works) with them. From this positivist forensic
psychology perspective, the inclusion of so-called positive factors such
as protective or desistance factors is an important issue. A
strengths-based approach to risk assessment encourages a more balanced
assessment by involving factors mediating, moderating, or even canceling
out this risk, specifically protective factors. Despite a strong
interest in them, there are many conceptual shortcomings that hinder
their use. The existence of these factors is still assumed. While the
importance of their integration in assessment is established, their lack
of validity hinders it. Hence, the Structured Assessment of PROtective
Factors (SAPROF) has been developed to measure exclusively protective
factors. The SAPROF assesses internal factors (e.g., intelligence,
secure attachment, etc.), motivational factors (e.g., work, leisure
activities, etc.), and external factors (e.g., social network, intimate
relationship, etc.). An additional version for Individual who have
Committed Sexual Offenses (ICSO) has also been developed. The first
study consists of a systematized literature review comprising six
studies focusing on protective factors identified among ICSOs and the
validity of their operational assessment using SAPROF. Main results
suggest a poor prediction of the SAPROF. A section of narrative
literature focuses on desistance. Desistance paradigm suggests that
professionals would be better equipped to deal with individuals who have
committed offenses if they were also allowed to guide them and listen to
what they think is best for them, rather than insisting that our
solutions are best. The principle of What works is therefore
complemented by the Why works and How works approaches to rehabilitation
by putting offenders back at the heart of the process. As a universal
and complex process, desistance involves changes in identity related to
exiting the criminal pathway. Therefore, it is a highly individualised
and subjective process, whom definitional and operational modalities are
still unclear. As with protective factors, narrative literature
identifies external and internal factors that might influence the
reintegration process. While some desistance factors seem to be common
to protective factors such as employment, quality of relationships, or
treatment, some non-operational factors are highlighted as narrative
discourses or knifing off concept. The second study investigates
desistance factors identified through discourses of six male ICSOs on
probation or conditional release based on iterative thematic content
analysis. Main results highlight a predominance of positive factors
relating to desistance, specifically positive interpersonal
relationships (external) and cognitive transformations marked by
reflective processes linked to offenses (internal). For negative factors
hindering their desistance process, ICSOs emphasize internal factors
such as access to illicit substances and financial difficulties. To
conclude, despite increasing attention, empirical and conceptual
definitions are lacking, particularly regarding protective factors and
related words. Less is known about how protective factors support
desistance from sexual offending.
The results of these two complementary studies will be discussed
considering the literature, laying the foundations for future research
necessary for conceptual and operational clarification of protective and
desistance factors. (c) 2024 Elsevier Masson SAS. All rights are
reserved, including those for text and data mining, AI training, and
similar technologies.","Desistance; Protective factors; Sexual offending; Recidivism risk;
Positive psychology",2025,"Protective factors and desistance factors in sexual offenders:
Articulation and clarification Forensic literature has witnessed a plethora of risk assessment tools,
emphasizing on factors increasing recidivism risk. Thus, assessment and
care practices of individuals who have offended have gradually evolved
when professionals no longer ask what doesn't work (Nothing works) but
what does work (What works) with them. From this positivist forensic
psychology perspective, the inclusion of so-called positive factors such
as protective or desistance factors is an important issue. A
strengths-based approach to risk assessment encourages a more balanced
assessment by involving factors mediating, moderating, or even canceling
out this risk, specifically protective factors. Despite a strong
interest in them, there are many conceptual shortcomings that hinder
their use. The existence of these factors is still assumed. While the
importance of their integration in assessment is established, their lack
of validity hinders it. Hence, the Structured Assessment of PROtective
Factors (SAPROF) has been developed to measure exclusively protective
factors. The SAPROF assesses internal factors (e.g., intelligence,
secure attachment, etc.), motivational factors (e.g., work, leisure
activities, etc.), and external factors (e.g., social network, intimate
relationship, etc.). An additional version for Individual who have
Committed Sexual Offenses (ICSO) has also been developed. The first
study consists of a systematized literature review comprising six
studies focusing on protective factors identified among ICSOs and the
validity of their operational assessment using SAPROF. Main results
suggest a poor prediction of the SAPROF. A section of narrative
literature focuses on desistance. Desistance paradigm suggests that
professionals would be better equipped to deal with individuals who have
committed offenses if they were also allowed to guide them and listen to
what they think is best for them, rather than insisting that our
solutions are best. The principle of What works is therefore
complemented by the Why works and How works approaches to rehabilitation
by putting offenders back at the heart of the process. As a universal
and complex process, desistance involves changes in identity related to
exiting the criminal pathway. Therefore, it is a highly individualised
and subjective process, whom definitional and operational modalities are
still unclear. As with protective factors, narrative literature
identifies external and internal factors that might influence the
reintegration process. While some desistance factors seem to be common
to protective factors such as employment, quality of relationships, or
treatment, some non-operational factors are highlighted as narrative
discourses or knifing off concept. The second study investigates
desistance factors identified through discourses of six male ICSOs on
probation or conditional release based on iterative thematic content
analysis. Main results highlight a predominance of positive factors
relating to desistance, specifically positive interpersonal
relationships (external) and cognitive transformations marked by
reflective processes linked to offenses (internal). For negative factors
hindering their desistance process, ICSOs emphasize internal factors
such as access to illicit substances and financial difficulties. To
conclude, despite increasing attention, empirical and conceptual
definitions are lacking, particularly regarding protective factors and
related words. Less is known about how protective factors support
desistance from sexual offending.
The results of these two complementary studies will be discussed
considering the literature, laying the foundations for future research
necessary for conceptual and operational clarification of protective and
desistance factors. (c) 2024 Elsevier Masson SAS. All rights are
reserved, including those for text and data mining, AI training, and
similar technologies. Desistance; Protective factors; Sexual offending; Recidivism risk;
Positive psychology"
"The structure of cooperation among organized crime groups: A network
study of Merseyside, UK","This study reconstructs the cooperation network among 134 organized
crime groups (OCGs) operating in an urban setting by leveraging a
dataset of 5239 police crime reports (January 2015 to March 2018). While
63 \% of groups cooperated with at least another group (median 2.8,
maximum 9), cooperation remains subject to constraints, with a maximum
of 3.3 \% of all possible ties being established, and there is a strong
tendency towards clusterization. Moving to the determinants of such
structure, the study finds that only one type of revenue-generating
criminal activity has a structuring effect on the OCG landscape: drug
trafficking. This sets drug trafficking apart from acquisitive crime.
Results also suggest that OCGs decrease risk by collaborating with
groups that also collaborate with a partner OCG. This holds when
controlling for spatial proximity. This work also shows that more
central groups in the cooperation network tend to use violence more
often. This study points to two main implications. Firstly, it
highlights the importance of considering self-organized groups of
offenders as entities in their own right when developing interventions;
secondly, it stresses the importance of group-level relational mapping
and associated mechanisms. Methodologically, it emphasizes the
importance of criminal groups as a unit of analysis.","Organized crime; Criminal groups; Cooperation; Co-offending; Violence;
Social network analysis",2025,"The structure of cooperation among organized crime groups: A network
study of Merseyside, UK This study reconstructs the cooperation network among 134 organized
crime groups (OCGs) operating in an urban setting by leveraging a
dataset of 5239 police crime reports (January 2015 to March 2018). While
63 \% of groups cooperated with at least another group (median 2.8,
maximum 9), cooperation remains subject to constraints, with a maximum
of 3.3 \% of all possible ties being established, and there is a strong
tendency towards clusterization. Moving to the determinants of such
structure, the study finds that only one type of revenue-generating
criminal activity has a structuring effect on the OCG landscape: drug
trafficking. This sets drug trafficking apart from acquisitive crime.
Results also suggest that OCGs decrease risk by collaborating with
groups that also collaborate with a partner OCG. This holds when
controlling for spatial proximity. This work also shows that more
central groups in the cooperation network tend to use violence more
often. This study points to two main implications. Firstly, it
highlights the importance of considering self-organized groups of
offenders as entities in their own right when developing interventions;
secondly, it stresses the importance of group-level relational mapping
and associated mechanisms. Methodologically, it emphasizes the
importance of criminal groups as a unit of analysis. Organized crime; Criminal groups; Cooperation; Co-offending; Violence;
Social network analysis"
"Keeping judges in the loop: a human-machine collaboration strategy
against the blind spots of AI in criminal justice","While seeping into every aspect of our lives, intelligent systems carry
serious concerns, many of which stem from the need to secure control
over machines ensuring they turn into an enhancement and not into a
threat to human societies. Issues are not lacking. Whether one considers
recruiting platforms perpetuating historical patterns of discrimination
or AI-driven systems unfairly evaluating the creditworthiness of natural
persons, it clearly appears vital to firmly place human beings with
their rights and needs at the center of intelligent technologies. The
paper tackles this kind of issue by focusing on the use of artificial
intelligence in criminal justice, where predictive analytics and
AI-driven decision systems have proven capable not only of enhancing the
fight against crime but also of bringing the risk of opacity,
aberrations, and injustices. We present a human-machine collaboration
strategy providing judges with the advantages of AI and computational
heuristics while offering control and understanding of the role played
by machines. Drawing from a research that led to the development of an
experimental platform supporting judges and public prosecutors dealing
with organized crime, the strategy revolves around two components: (i)
an online learning model designed to support judges in the evaluation of
criminal dangerousness of individuals and groups capable of learning
from users' feedback; (ii) a human-computer interaction component
exploiting visual metaphors to ease judges' interaction with data, AI
and other heuristics. The main contribution of the work is a novel and
viable declension of the Human-centered AI paradigm in justice
administration.","Human-machine collaboration; Machine learning digital justice; Legal
analytics; Computational crime analysis",2023,"Keeping judges in the loop: a human-machine collaboration strategy
against the blind spots of AI in criminal justice While seeping into every aspect of our lives, intelligent systems carry
serious concerns, many of which stem from the need to secure control
over machines ensuring they turn into an enhancement and not into a
threat to human societies. Issues are not lacking. Whether one considers
recruiting platforms perpetuating historical patterns of discrimination
or AI-driven systems unfairly evaluating the creditworthiness of natural
persons, it clearly appears vital to firmly place human beings with
their rights and needs at the center of intelligent technologies. The
paper tackles this kind of issue by focusing on the use of artificial
intelligence in criminal justice, where predictive analytics and
AI-driven decision systems have proven capable not only of enhancing the
fight against crime but also of bringing the risk of opacity,
aberrations, and injustices. We present a human-machine collaboration
strategy providing judges with the advantages of AI and computational
heuristics while offering control and understanding of the role played
by machines. Drawing from a research that led to the development of an
experimental platform supporting judges and public prosecutors dealing
with organized crime, the strategy revolves around two components: (i)
an online learning model designed to support judges in the evaluation of
criminal dangerousness of individuals and groups capable of learning
from users' feedback; (ii) a human-computer interaction component
exploiting visual metaphors to ease judges' interaction with data, AI
and other heuristics. The main contribution of the work is a novel and
viable declension of the Human-centered AI paradigm in justice
administration. Human-machine collaboration; Machine learning digital justice; Legal
analytics; Computational crime analysis"
"Social network analysis of illicit organ trading networks: The Medicus
case","Organ trafficking has been receiving more attention in recent years as
its association with transnational crime organizations became evident.
Most of the academic studies available on this topic are qualitative
case studies, descriptively analyzing the nature of the crime and the
agents involved. These studies often highlight the unique nature of
organ trafficking, which is the involvement of medical service providers
in the network. There have been, however, no effort made to examine the
connections between medical service providers and other agents in the
network in a quantitative fashion. This study presents unique
quantitative data extracted from the ``Medicus case{''}, a
well-documented court case involving kidney trafficking that surfaced in
Pristina, Kosovo, in 2008. Social Network Analysis (SNA) was employed to
quantitatively analyze the structure and characteristics of the kidney
trafficking network. The results reveal that there was a significant
variation in the level of involvement in kidney trafficking both across
and within different types of agents. Notably, medical staff,
facilities, and brokers played vital roles in the kidney trafficking
network. Moreover, kidney sellers held a more prominent role than kidney
buyers, with certain sellers playing particularly influential roles. In
sum, this study demonstrates the promise of SNA as a tool for
understanding kidney trafficking networks, and that further research is
warranted to fully explore its potential in this field.","Social Network Analysis; Organ Trade; Criminal Networks; Transplant
Tourism; Organized Crime",2023,"Social network analysis of illicit organ trading networks: The Medicus
case Organ trafficking has been receiving more attention in recent years as
its association with transnational crime organizations became evident.
Most of the academic studies available on this topic are qualitative
case studies, descriptively analyzing the nature of the crime and the
agents involved. These studies often highlight the unique nature of
organ trafficking, which is the involvement of medical service providers
in the network. There have been, however, no effort made to examine the
connections between medical service providers and other agents in the
network in a quantitative fashion. This study presents unique
quantitative data extracted from the ``Medicus case{''}, a
well-documented court case involving kidney trafficking that surfaced in
Pristina, Kosovo, in 2008. Social Network Analysis (SNA) was employed to
quantitatively analyze the structure and characteristics of the kidney
trafficking network. The results reveal that there was a significant
variation in the level of involvement in kidney trafficking both across
and within different types of agents. Notably, medical staff,
facilities, and brokers played vital roles in the kidney trafficking
network. Moreover, kidney sellers held a more prominent role than kidney
buyers, with certain sellers playing particularly influential roles. In
sum, this study demonstrates the promise of SNA as a tool for
understanding kidney trafficking networks, and that further research is
warranted to fully explore its potential in this field. Social Network Analysis; Organ Trade; Criminal Networks; Transplant
Tourism; Organized Crime"
"Detecting People on the Street and the Streetscape Physical Environment
from Baidu Street View Images and Their Effects on Community-Level
Street Crime in a Chinese City","The occurrence of street crime is affected by socioeconomic and
demographic characteristics and is also influenced by streetscape
conditions. Understanding how the spatial distribution of street crime
is associated with different streetscape features is significant for
establishing crime prevention and city management strategies.
Conventional data sources that quantify people on the street and
streetscape characteristics, such as questionnaires, field surveys, or
manual audits, are labor-intensive, time-consuming, and unable to cover
a large area with a sufficient spatial resolution. Emerging cell phone
and social media data have been used to measure ambient population, but
they cannot distinguish between the street and indoor populations. This
study addresses these limitations by combining Baidu Street View (BSV)
images, deep learning algorithms, and spatial statistical regression
models to examine the influences of people on the street and in the
streetscape physical environment on street crime in a large Chinese
city. First, we collected fine-grained street view images from the Baidu
Map website. Then, we constructed a Faster R-CNN network to detect
discrete elements with distinct outlines (such as persons) in each
image. From this, we counted the number of people on the street in every
BSV image and finally obtained the community-level total amounts.
Additionally, the PSPNet network was developed for pixel-wise semantic
segmentation to determine the proportions of other streetscape features
such as buildings in each BSV image, based on which we obtained their
community-level averages. The quantitative measurement of people on the
street and a set of streetscape features that had potential influences
on crime were finally derived by combining the outputs of two deep
learning networks. To account for the spatial autocorrelation effect and
distributional characteristics of crime data, we constructed a set of
spatial lag negative binomial regression models to investigate how three
types of street crime (i.e., total crime, property crime, and violent
crime) were affected by the number of people on the street and the
streetscape-built conditions. The models also controlled the effect of
socioeconomic and demographic factors, land use features, the formal
surveillance level, and transportation facilities. The models with
people on the street and streetscape environment features had noticeable
performance improvements, demonstrating the necessity for accounting for
the effect of these factors when understanding street crime.
Specifically, the number of people on the street had significantly
positive impacts on the total street crime and street property crime.
However, no statistically significant impact was found on street violent
crime. The average proportions of the paths, buildings, and trees were
associated with significantly lower street crime among physical
streetscape features. Additionally, the statistical significances of
most control variables conformed to previous research findings. This
study is the first to combine Street View images and deep learning
algorithms to retrieve the number of people on the street and the
features of the visual streetscape environment to understand street
crime.","street crime; people on the street; streetscape; Baidu Street View
image; spatial lag negative binomial regression",2022,"Detecting People on the Street and the Streetscape Physical Environment
from Baidu Street View Images and Their Effects on Community-Level
Street Crime in a Chinese City The occurrence of street crime is affected by socioeconomic and
demographic characteristics and is also influenced by streetscape
conditions. Understanding how the spatial distribution of street crime
is associated with different streetscape features is significant for
establishing crime prevention and city management strategies.
Conventional data sources that quantify people on the street and
streetscape characteristics, such as questionnaires, field surveys, or
manual audits, are labor-intensive, time-consuming, and unable to cover
a large area with a sufficient spatial resolution. Emerging cell phone
and social media data have been used to measure ambient population, but
they cannot distinguish between the street and indoor populations. This
study addresses these limitations by combining Baidu Street View (BSV)
images, deep learning algorithms, and spatial statistical regression
models to examine the influences of people on the street and in the
streetscape physical environment on street crime in a large Chinese
city. First, we collected fine-grained street view images from the Baidu
Map website. Then, we constructed a Faster R-CNN network to detect
discrete elements with distinct outlines (such as persons) in each
image. From this, we counted the number of people on the street in every
BSV image and finally obtained the community-level total amounts.
Additionally, the PSPNet network was developed for pixel-wise semantic
segmentation to determine the proportions of other streetscape features
such as buildings in each BSV image, based on which we obtained their
community-level averages. The quantitative measurement of people on the
street and a set of streetscape features that had potential influences
on crime were finally derived by combining the outputs of two deep
learning networks. To account for the spatial autocorrelation effect and
distributional characteristics of crime data, we constructed a set of
spatial lag negative binomial regression models to investigate how three
types of street crime (i.e., total crime, property crime, and violent
crime) were affected by the number of people on the street and the
streetscape-built conditions. The models also controlled the effect of
socioeconomic and demographic factors, land use features, the formal
surveillance level, and transportation facilities. The models with
people on the street and streetscape environment features had noticeable
performance improvements, demonstrating the necessity for accounting for
the effect of these factors when understanding street crime.
Specifically, the number of people on the street had significantly
positive impacts on the total street crime and street property crime.
However, no statistically significant impact was found on street violent
crime. The average proportions of the paths, buildings, and trees were
associated with significantly lower street crime among physical
streetscape features. Additionally, the statistical significances of
most control variables conformed to previous research findings. This
study is the first to combine Street View images and deep learning
algorithms to retrieve the number of people on the street and the
features of the visual streetscape environment to understand street
crime. street crime; people on the street; streetscape; Baidu Street View
image; spatial lag negative binomial regression"
"Structural Analysis of URL For Malicious URL Detection Using Machine
Learning","Malicious websites are intentionally created websites that aid online
criminals in carrying out illicit actions. They commit crimes like
installing malware on the victim's computer, stealing private data from
the victim's system, and exposing the victim online. Malicious codes can
also be found on legitimate websites. Therefore, locating such a website
in cyberspace is a difficult operation that demands the utilization of
an automated detection tool. Currently, machine learning/deep learning
technologies are employed to detect such malicious websites. However,
the problem persists since the attack vector is constantly changing.
Most research solutions use a limited number of URL lexical features,
DNS information, global ranking information, and webpage content
features. Combining several derived features involves computation time
and security risk. Additionally, the dataset's minimal features don't
maximize its potential. This paper exclusively uses URLs to address this
problem and blends linguistic and vectorized URL features. Complete
potential of the URL is utilized through vectorization. Six machine
learning algorithms are examined. The results indicate that the proposed
approach performs better for the count vectorizer with random forest
algorithm.","Malicious Link; Phishing; Natural Language Processing; Machine learning;
ngram; Random Forest; Lexical features of URL; TFIDF vectorizer; Count
vectorizer; Hashing vectorizer",2023,"Structural Analysis of URL For Malicious URL Detection Using Machine
Learning Malicious websites are intentionally created websites that aid online
criminals in carrying out illicit actions. They commit crimes like
installing malware on the victim's computer, stealing private data from
the victim's system, and exposing the victim online. Malicious codes can
also be found on legitimate websites. Therefore, locating such a website
in cyberspace is a difficult operation that demands the utilization of
an automated detection tool. Currently, machine learning/deep learning
technologies are employed to detect such malicious websites. However,
the problem persists since the attack vector is constantly changing.
Most research solutions use a limited number of URL lexical features,
DNS information, global ranking information, and webpage content
features. Combining several derived features involves computation time
and security risk. Additionally, the dataset's minimal features don't
maximize its potential. This paper exclusively uses URLs to address this
problem and blends linguistic and vectorized URL features. Complete
potential of the URL is utilized through vectorization. Six machine
learning algorithms are examined. The results indicate that the proposed
approach performs better for the count vectorizer with random forest
algorithm. Malicious Link; Phishing; Natural Language Processing; Machine learning;
ngram; Random Forest; Lexical features of URL; TFIDF vectorizer; Count
vectorizer; Hashing vectorizer"
"Prediction of Recidivism and Detection of Risk Factors Under Different
Time Windows Using Machine Learning Techniques","Following a comprehensive analysis of the initial three generations of
prisoner risk assessment tools, the field has observed a notable
prominence in the integration of fourth-generation tools and machine
learning techniques. However, limited efforts have been made to address
the explainability of data-driven prediction models and their connection
with treatment recommendations. Our primary objective was to develop
predictive models for assessing the likelihood of recidivism among
prisoners released from their index incarceration within 1-year, 2-year,
and 5-year timeframes. We aimed to enhance interpretability using
SHapley Additive exPlanations (SHAP). We collected data from 20,457
in-prison records from February 10, 2005, to August 25, 2021, sourced
from a Southwestern China prison's data management system. Recidivism
records were officially determined through data mining from an official
website and combined identification data from neighboring prisons. We
employed five machine learning algorithms, considering sociodemographic,
physical health, psychological assessments, criminological
characteristics, crime history, social support, and in-prison behaviors
as factors. For interpretability, SHAP was applied to reveal feature
contributions. Findings indicated that young prisoners accused of
larceny, previous convictions, lower fines, and limited family support
faced higher reoffending risk. Conversely, middle-aged and senior
prisoners with no prior convictions, lower monthly supermarket expenses,
and positive psychological test results had lower reoffending risk. We
also explored interactions between significant predictive features, such
as prisoner age at incarceration initiation and primary accusation, and
the duration of current incarceration and cumulative prior
incarcerations. Notably, our models consistently exhibited high
performance, as shown by AUC on the test dataset across time windows.
Interpretability results provided insights into evolving risk factors
over time, valuable for intervention with high-risk individuals. These
insights, with additional validation, could offer dynamic prisoner
information for stakeholders. Moreover, interpretability results can be
seamlessly integrated into prison and court management systems as a
valuable risk assessment tool.","recidivism; different time windows; machine learning; SHapley additive
exPlanations; risk prediction",2024,"Prediction of Recidivism and Detection of Risk Factors Under Different
Time Windows Using Machine Learning Techniques Following a comprehensive analysis of the initial three generations of
prisoner risk assessment tools, the field has observed a notable
prominence in the integration of fourth-generation tools and machine
learning techniques. However, limited efforts have been made to address
the explainability of data-driven prediction models and their connection
with treatment recommendations. Our primary objective was to develop
predictive models for assessing the likelihood of recidivism among
prisoners released from their index incarceration within 1-year, 2-year,
and 5-year timeframes. We aimed to enhance interpretability using
SHapley Additive exPlanations (SHAP). We collected data from 20,457
in-prison records from February 10, 2005, to August 25, 2021, sourced
from a Southwestern China prison's data management system. Recidivism
records were officially determined through data mining from an official
website and combined identification data from neighboring prisons. We
employed five machine learning algorithms, considering sociodemographic,
physical health, psychological assessments, criminological
characteristics, crime history, social support, and in-prison behaviors
as factors. For interpretability, SHAP was applied to reveal feature
contributions. Findings indicated that young prisoners accused of
larceny, previous convictions, lower fines, and limited family support
faced higher reoffending risk. Conversely, middle-aged and senior
prisoners with no prior convictions, lower monthly supermarket expenses,
and positive psychological test results had lower reoffending risk. We
also explored interactions between significant predictive features, such
as prisoner age at incarceration initiation and primary accusation, and
the duration of current incarceration and cumulative prior
incarcerations. Notably, our models consistently exhibited high
performance, as shown by AUC on the test dataset across time windows.
Interpretability results provided insights into evolving risk factors
over time, valuable for intervention with high-risk individuals. These
insights, with additional validation, could offer dynamic prisoner
information for stakeholders. Moreover, interpretability results can be
seamlessly integrated into prison and court management systems as a
valuable risk assessment tool. recidivism; different time windows; machine learning; SHapley additive
exPlanations; risk prediction"
From links to meaning: A burglary data case study,"Our central aim is the development of decision support systems for
purposes such as profiling single and series of crimes or offenders, and
matching and predicting crimes. This paper presents research in this
area for the high-volume crime of Burglary Dwelling House, examining the
operational use of networks and the metric of brokerage from the social
network analysis literature. Our work builds upon several years of
experimentation using forensic psychology guided exploratory techniques
from artificial intelligence, statistics and spatial statistics.",,2005,"From links to meaning: A burglary data case study Our central aim is the development of decision support systems for
purposes such as profiling single and series of crimes or offenders, and
matching and predicting crimes. This paper presents research in this
area for the high-volume crime of Burglary Dwelling House, examining the
operational use of networks and the metric of brokerage from the social
network analysis literature. Our work builds upon several years of
experimentation using forensic psychology guided exploratory techniques
from artificial intelligence, statistics and spatial statistics."
