title,abstract,keywords,year,cleaned,topic
"EXPRESSION RECOGNITION METHOD COMBINING CONVOLUTIONAL FEATURES AND
TRANSFORMER","Expression recognition has been an important research direction in the
field of psychology, which can be used in traffic, medical, security,
and criminal investigation by expressing human feelings through the
muscles in the corners of the mouth, eyes, and face. Most of the
existing research work uses convolutional neural networks (CNN) to
recognize face images and thus classify expressions, which does achieve
good results, but CNN do not have enough ability to extract global
features. The Transformer has advantages for global feature extraction,
but the Transformer is more computationally intensive and requires a
large amount of training data. So, in this paper, we use the
hierarchical Transformer, namely Swin Transformer, for the expression
recognition task, and its computational power will be greatly reduced.
At the same time, it is fused with a CNN model to propose a network
architecture that combines the Transformer and CNN, and to the best of
our knowledge, we are the first to combine the Swin Transformer with CNN
and use it in an expression recognition task. We then evaluate the
proposed method on some publicly available expression datasets and can
obtain competitive results.","Convolution neural network; deep learning; Swin Transformer; expression
recognition; combined architecture",2023,"EXPRESSION RECOGNITION METHOD COMBINING CONVOLUTIONAL FEATURES AND
TRANSFORMER Expression recognition has been an important research direction in the
field of psychology, which can be used in traffic, medical, security,
and criminal investigation by expressing human feelings through the
muscles in the corners of the mouth, eyes, and face. Most of the
existing research work uses convolutional neural networks (CNN) to
recognize face images and thus classify expressions, which does achieve
good results, but CNN do not have enough ability to extract global
features. The Transformer has advantages for global feature extraction,
but the Transformer is more computationally intensive and requires a
large amount of training data. So, in this paper, we use the
hierarchical Transformer, namely Swin Transformer, for the expression
recognition task, and its computational power will be greatly reduced.
At the same time, it is fused with a CNN model to propose a network
architecture that combines the Transformer and CNN, and to the best of
our knowledge, we are the first to combine the Swin Transformer with CNN
and use it in an expression recognition task. We then evaluate the
proposed method on some publicly available expression datasets and can
obtain competitive results. Convolution neural network; deep learning; Swin Transformer; expression
recognition; combined architecture",2
Deaths Related to Domestic Violence in Washington State,"Importance Domestic violence (DV; including intimate partner and family
violence) is associated with heightened lethality risks, yet limited
research has comprehensively assessed the connection between DV and
fatal violence considering both homicides and suicides. Understanding
the fatal consequences of DV can point to missed opportunities to
support individuals and their families. Objective To assess the
proportion of violent deaths that were connected to DV and describe
contacts with the legal system or social services prior to each
DV-related fatality. Design, Setting, and Participants This
cross-sectional study used quantitative and qualitative data from the
National Violent Death Reporting System (NVDRS) for all individuals who
died by homicide or suicide in Washington from January 1, 2015, to
December 31, 2020. Analyses were conducted from August 1, 2022, to
September 30, 2023. Main Outcomes and Measures A multipronged approach
was used to assess DV history using existing NVDRS variables, leveraging
data from prior review of NVDRS death narratives, applying a validated
natural language processing tool, and linking related deaths. Domestic
violence was recorded as yes or no, but the decedent's role in the
abusive relationship (ie, experiencing or enacting DV) could not be
differentiated. To describe system involvement prior to each death,
keyword searching and hand review of NVDRS death narratives were used.
Results A total of 7352 intentional violent deaths (1192 homicides
{[}16.2\%]; 6160 suicides {[}83.8\%]) with known circumstances were
recorded in Washington during the study period. Of these, 948 deaths
(12.9\%) were connected to DV (624 {[}65.8\%] among males; mean {[}SD]
age at death, 45.3 {[}19.2] years), including 588 suicides (62.0\%) and
360 homicides (38.0\%). For 420 DV-related deaths (44.3\%), there was
evidence to suggest that the person who died or their intimate
partner(s), family, or cohabitants had prior contacts with the legal
system or social services. Specifically, 318 records (33.5\%) mentioned
prior contacts with law enforcement or the criminal legal system (eg,
prior 9-1-1 calls, criminal convictions), and 225 (23.7\%) described
engagement with social services or the civil legal system (eg, civil
protection order, divorce, or child custody problems). Conclusions and
Relevance In this cross-sectional study, 12.9\% of violent deaths in
Washington were connected to DV. The findings suggest that more
resources are needed to support law enforcement, court professionals,
and social services specialists to proactively identify and refer
families to wraparound supports before the situation can escalate to a
fatality.",,2024,"Deaths Related to Domestic Violence in Washington State Importance Domestic violence (DV; including intimate partner and family
violence) is associated with heightened lethality risks, yet limited
research has comprehensively assessed the connection between DV and
fatal violence considering both homicides and suicides. Understanding
the fatal consequences of DV can point to missed opportunities to
support individuals and their families. Objective To assess the
proportion of violent deaths that were connected to DV and describe
contacts with the legal system or social services prior to each
DV-related fatality. Design, Setting, and Participants This
cross-sectional study used quantitative and qualitative data from the
National Violent Death Reporting System (NVDRS) for all individuals who
died by homicide or suicide in Washington from January 1, 2015, to
December 31, 2020. Analyses were conducted from August 1, 2022, to
September 30, 2023. Main Outcomes and Measures A multipronged approach
was used to assess DV history using existing NVDRS variables, leveraging
data from prior review of NVDRS death narratives, applying a validated
natural language processing tool, and linking related deaths. Domestic
violence was recorded as yes or no, but the decedent's role in the
abusive relationship (ie, experiencing or enacting DV) could not be
differentiated. To describe system involvement prior to each death,
keyword searching and hand review of NVDRS death narratives were used.
Results A total of 7352 intentional violent deaths (1192 homicides
{[}16.2\%]; 6160 suicides {[}83.8\%]) with known circumstances were
recorded in Washington during the study period. Of these, 948 deaths
(12.9\%) were connected to DV (624 {[}65.8\%] among males; mean {[}SD]
age at death, 45.3 {[}19.2] years), including 588 suicides (62.0\%) and
360 homicides (38.0\%). For 420 DV-related deaths (44.3\%), there was
evidence to suggest that the person who died or their intimate
partner(s), family, or cohabitants had prior contacts with the legal
system or social services. Specifically, 318 records (33.5\%) mentioned
prior contacts with law enforcement or the criminal legal system (eg,
prior 9-1-1 calls, criminal convictions), and 225 (23.7\%) described
engagement with social services or the civil legal system (eg, civil
protection order, divorce, or child custody problems). Conclusions and
Relevance In this cross-sectional study, 12.9\% of violent deaths in
Washington were connected to DV. The findings suggest that more
resources are needed to support law enforcement, court professionals,
and social services specialists to proactively identify and refer
families to wraparound supports before the situation can escalate to a
fatality.",0
"Local-Peak Scale-Invariant Feature Transform for Fast and Random Image
Stitching","Image stitching aims to construct a wide field of view with high spatial
resolution, which cannot be achieved in a single exposure. Typically,
conventional image stitching techniques, other than deep learning,
require complex computation and are thus computationally expensive,
especially for stitching large raw images. In this study, inspired by
the multiscale feature of fluid turbulence, we developed a fast feature
point detection algorithm named local-peak scale-invariant feature
transform (LP-SIFT), based on the multiscale local peaks and
scale-invariant feature transform method. By combining LP-SIFT and
RANSAC in image stitching, the stitching speed can be improved by orders
compared with the original SIFT method. Benefiting from the adjustable
size of the interrogation window, the LP-SIFT algorithm demonstrates
comparable or even less stitching time than the other commonly used
algorithms, while achieving comparable or even better stitching results.
Nine large images (over 2600 x 1600 pixels), arranged randomly without
prior knowledge, can be stitched within 158.94 s. The algorithm is
highly practical for applications requiring a wide field of view in
diverse application scenes, e.g., terrain mapping, biological analysis,
and even criminal investigation.",image stitching; LP-SIFT; image mosaic,2024,"Local-Peak Scale-Invariant Feature Transform for Fast and Random Image
Stitching Image stitching aims to construct a wide field of view with high spatial
resolution, which cannot be achieved in a single exposure. Typically,
conventional image stitching techniques, other than deep learning,
require complex computation and are thus computationally expensive,
especially for stitching large raw images. In this study, inspired by
the multiscale feature of fluid turbulence, we developed a fast feature
point detection algorithm named local-peak scale-invariant feature
transform (LP-SIFT), based on the multiscale local peaks and
scale-invariant feature transform method. By combining LP-SIFT and
RANSAC in image stitching, the stitching speed can be improved by orders
compared with the original SIFT method. Benefiting from the adjustable
size of the interrogation window, the LP-SIFT algorithm demonstrates
comparable or even less stitching time than the other commonly used
algorithms, while achieving comparable or even better stitching results.
Nine large images (over 2600 x 1600 pixels), arranged randomly without
prior knowledge, can be stitched within 158.94 s. The algorithm is
highly practical for applications requiring a wide field of view in
diverse application scenes, e.g., terrain mapping, biological analysis,
and even criminal investigation. image stitching; LP-SIFT; image mosaic",-1
"A distortion model guided adversarial surrogate for recaptured document
detection","Due to the ever-growing need for e -business, document presentation
attack detection (DPAD) is an important forensic task. With deep
learning, the performances of DPAD methods have been improved
significantly. However, the cross -domain performance under different
types of document images is not yet satisfactory. In this work, we
propose to study the document recapturing distortion model (DM), which
is employed in guiding the training of an end -to -end surrogate
distortion model. This surrogate model is incorporated into the DPAD
scheme in an adversarial training fashion, yielding the proposed
Adversarial Surrogate -based DPAD (AS-DPAD) scheme. The surrogate model
actively generates adversarial samples with recapturing distortions that
confuse the DPAD model. Meanwhile, the DPAD backbone learns a latent
space that considers the distances between the generated and real
recaptured samples to achieve a better generalization performance. A
challenging crossdomain protocol is conducted in our experiment. The
results confirm that our DM improves the efficacy of the trained
surrogate distortion model and also validate that the proposed
adversarial training strategy leads to a significant performance gain in
the evaluation of document images with different contents.",Presentation attack; Recapturing distortion; Adversarial training,2024,"A distortion model guided adversarial surrogate for recaptured document
detection Due to the ever-growing need for e -business, document presentation
attack detection (DPAD) is an important forensic task. With deep
learning, the performances of DPAD methods have been improved
significantly. However, the cross -domain performance under different
types of document images is not yet satisfactory. In this work, we
propose to study the document recapturing distortion model (DM), which
is employed in guiding the training of an end -to -end surrogate
distortion model. This surrogate model is incorporated into the DPAD
scheme in an adversarial training fashion, yielding the proposed
Adversarial Surrogate -based DPAD (AS-DPAD) scheme. The surrogate model
actively generates adversarial samples with recapturing distortions that
confuse the DPAD model. Meanwhile, the DPAD backbone learns a latent
space that considers the distances between the generated and real
recaptured samples to achieve a better generalization performance. A
challenging crossdomain protocol is conducted in our experiment. The
results confirm that our DM improves the efficacy of the trained
surrogate distortion model and also validate that the proposed
adversarial training strategy leads to a significant performance gain in
the evaluation of document images with different contents. Presentation attack; Recapturing distortion; Adversarial training",1
"Automated diatom detection in forensic drowning diagnosis using a single
shot multibox detector with plump receptive field","The detected result of diatoms is an important indicator in forensic
drowning examination, and most of the current deep learning methods have
achieved greater success in detecting diatoms with simple or no
backgrounds. However, diatom images captured by the high-definition
electron scanning microscopy in modern forensic science contain complex
backgrounds and hamper the accurate diatom detection, resulting in the
omission detection of the small and marginal diatoms in multi-diatom
scenario. In this paper, we proposed a
Hybrid-Dilated-Convolution-incorporated Single Shot Multibox Detector
(HDC-SSD) to address this problem. By adopting the merit of the plump
receptive field of HDC, the proposed algorithm not only improves the
detection rate but also enhances the detection ability of the small
objects and the marginal objects. The proposed method was validated by
using our self-established dataset. Compared with SSD, the HDC-SSD
reduces the undetected rate by approximately 48.6\% and almost keeps as
fast as the SSD. More importantly, compared with some current
state-of-the-art methods, the HDC-SSD obtains the highest Recall value
at 0.9302. (C) 2022 Elsevier B.V. All rights reserved.",Hybrid-Dilated-Convolution; SSD; Detection; Forensic; Diatom,2022,"Automated diatom detection in forensic drowning diagnosis using a single
shot multibox detector with plump receptive field The detected result of diatoms is an important indicator in forensic
drowning examination, and most of the current deep learning methods have
achieved greater success in detecting diatoms with simple or no
backgrounds. However, diatom images captured by the high-definition
electron scanning microscopy in modern forensic science contain complex
backgrounds and hamper the accurate diatom detection, resulting in the
omission detection of the small and marginal diatoms in multi-diatom
scenario. In this paper, we proposed a
Hybrid-Dilated-Convolution-incorporated Single Shot Multibox Detector
(HDC-SSD) to address this problem. By adopting the merit of the plump
receptive field of HDC, the proposed algorithm not only improves the
detection rate but also enhances the detection ability of the small
objects and the marginal objects. The proposed method was validated by
using our self-established dataset. Compared with SSD, the HDC-SSD
reduces the undetected rate by approximately 48.6\% and almost keeps as
fast as the SSD. More importantly, compared with some current
state-of-the-art methods, the HDC-SSD obtains the highest Recall value
at 0.9302. (C) 2022 Elsevier B.V. All rights reserved. Hybrid-Dilated-Convolution; SSD; Detection; Forensic; Diatom",1
"Multistage Convolutional Neural Network With Deformable Attention for
Word-Level Offline Text-Independent Writer Identification","Offline writer identification is an essential component of biometric and
forensic security fields, focusing on identifying the authors of
handwritten documents in physical form. Historically, this approach has
focused on text-dependent identification using page-level document
images containing multiple paragraphs and sentences. However,
text-independent identification using a limited number of word-level
text images still faces performance challenges in real-world scenarios,
especially when relying on traditional handcrafted features. To address
these issues, this study improves the generalization and interpretative
capabilities in word-level offline text-independent writer
identification by introducing a novel multistage convolutional neural
network designed as an end-to-end model. We then improve the model's
ability to interpret and classify handwriting effectively by
incorporating the insights of forensic document examiners through the
use of a deformable attention module. The experimental validation on
four public datasets, namely, IAM, CVL, Firemaker, and CERUG-EN,
confirmed the effectiveness of the proposed method.","Feature extraction; Writing; Convolutional neural networks; Forensics;
Accuracy; Training; Shape; Object recognition; Handwriting recognition;
Deep learning; Biometrics; computer vision; convolutional neural
network; deformable convolutional networks; forensics; writer
identification",2025,"Multistage Convolutional Neural Network With Deformable Attention for
Word-Level Offline Text-Independent Writer Identification Offline writer identification is an essential component of biometric and
forensic security fields, focusing on identifying the authors of
handwritten documents in physical form. Historically, this approach has
focused on text-dependent identification using page-level document
images containing multiple paragraphs and sentences. However,
text-independent identification using a limited number of word-level
text images still faces performance challenges in real-world scenarios,
especially when relying on traditional handcrafted features. To address
these issues, this study improves the generalization and interpretative
capabilities in word-level offline text-independent writer
identification by introducing a novel multistage convolutional neural
network designed as an end-to-end model. We then improve the model's
ability to interpret and classify handwriting effectively by
incorporating the insights of forensic document examiners through the
use of a deformable attention module. The experimental validation on
four public datasets, namely, IAM, CVL, Firemaker, and CERUG-EN,
confirmed the effectiveness of the proposed method. Feature extraction; Writing; Convolutional neural networks; Forensics;
Accuracy; Training; Shape; Object recognition; Handwriting recognition;
Deep learning; Biometrics; computer vision; convolutional neural
network; deformable convolutional networks; forensics; writer
identification",9
"DeepReversion: Reversely Inferring the Original Face from the DeepFake
Face","Deepfake techniques can generate realistic fake images and videos.
Malicious fake facial images quickly spread through the Internet, posing
a potential threat to personal privacy and judicial forensics. However,
the defense methods against deepfake proposed so far mainly focus on the
discrimination of authenticity, but cannot identify the true source of
the forged face, i.e., the original genuine face corresponding to the
face-swapped fake face. This paper poses an interesting issue for face
deepfake, which is the proactive forensics of ``knowing what and knowing
how{''}. In view of the fact that the fake face exhibits high similarity
with the original face, especially the facial expression and pose, we
argue that the original face can be approximately estimated from the
deepfake counterpart. Accordingly, we advocate a deep-learning-based
face inversion approach, so-called DeepReversion, which learns the
inverse mapping from the deepfake face to the original face. Based on
UNet, we design a specific end-to-end DeepReversion network, and conduct
comprehensive experiments on public deepfake datasets. The experimental
results show that the speculated face is highly consistent with the
original face in terms of visual effects, PSNR, SSIM and similarity
given by face recognizers.",,2023,"DeepReversion: Reversely Inferring the Original Face from the DeepFake
Face Deepfake techniques can generate realistic fake images and videos.
Malicious fake facial images quickly spread through the Internet, posing
a potential threat to personal privacy and judicial forensics. However,
the defense methods against deepfake proposed so far mainly focus on the
discrimination of authenticity, but cannot identify the true source of
the forged face, i.e., the original genuine face corresponding to the
face-swapped fake face. This paper poses an interesting issue for face
deepfake, which is the proactive forensics of ``knowing what and knowing
how{''}. In view of the fact that the fake face exhibits high similarity
with the original face, especially the facial expression and pose, we
argue that the original face can be approximately estimated from the
deepfake counterpart. Accordingly, we advocate a deep-learning-based
face inversion approach, so-called DeepReversion, which learns the
inverse mapping from the deepfake face to the original face. Based on
UNet, we design a specific end-to-end DeepReversion network, and conduct
comprehensive experiments on public deepfake datasets. The experimental
results show that the speculated face is highly consistent with the
original face in terms of visual effects, PSNR, SSIM and similarity
given by face recognizers.",2
Exposing Fake Images With Forensic Similarity Graphs,"In this paper, we propose new image forgery detection and localization
algorithms by recasting these problems as graph-based community
detection problems. To do this, we introduce a novel graph-based
representation of an image, which we call the Forensic Similarity Graph,
that captures key forensic relationships among regions in the image. In
this representation, small image patches are represented by graph
vertices with edges assigned according to the forensic similarity
between patches. Localized tampering introduces unique structure into
this graph, which aligns with a concept called ``community structure{''}
in graph-theory literature. In the Forensic Similarity Graph,
communities correspond to the tampered and unaltered regions in the
image. As a result, forgery detection is performed by identifying
whether multiple communities exist, and forgery localization is
performed by partitioning these communities. We present two community
detection techniques, adapted from literature, to detect and localize
image forgeries. We experimentally show that our proposed community
detection methods outperform existing state-of-the-art forgery detection
and localization methods, which do not capture such community structure.","Forensics; Forgery; Image edge detection; Deep learning; Feature
extraction; Transform coding; Image coding; Multimedia forensics;
forgery detection; deep learning; community detection",2020,"Exposing Fake Images With Forensic Similarity Graphs In this paper, we propose new image forgery detection and localization
algorithms by recasting these problems as graph-based community
detection problems. To do this, we introduce a novel graph-based
representation of an image, which we call the Forensic Similarity Graph,
that captures key forensic relationships among regions in the image. In
this representation, small image patches are represented by graph
vertices with edges assigned according to the forensic similarity
between patches. Localized tampering introduces unique structure into
this graph, which aligns with a concept called ``community structure{''}
in graph-theory literature. In the Forensic Similarity Graph,
communities correspond to the tampered and unaltered regions in the
image. As a result, forgery detection is performed by identifying
whether multiple communities exist, and forgery localization is
performed by partitioning these communities. We present two community
detection techniques, adapted from literature, to detect and localize
image forgeries. We experimentally show that our proposed community
detection methods outperform existing state-of-the-art forgery detection
and localization methods, which do not capture such community structure. Forensics; Forgery; Image edge detection; Deep learning; Feature
extraction; Transform coding; Image coding; Multimedia forensics;
forgery detection; deep learning; community detection",1
"T3 N: Harnessing Text and Temporal Tree Network
for Rumor Detection on Twitter","Social media platforms have democratized the publication process
resulting into easy and viral propagation of information. However,
spread of rumors via such media often results into undesired and
extremely impactful political, economic, social, psychological and
criminal consequences. Several manual as well as automated efforts have
been undertaken in the past to solve this critical problem. Existing
automated methods are text based, user credibility based or use signals
from the tweet propagation tree. We aim at using the text, user,
propagation tree and temporal information jointly for rumor detection on
Twitter. This involves several challenges like how to handle text
variations on Twitter, what signals from user profile could be useful,
how to best encode the propagation tree information, and how to
incorporate the temporal signal. Our novel architecture, T-3 N (Text and
Temporal Tree Network), leverages deep learning based architectures to
encode text, user and tree information in a temporal-aware manner. Our
extensive comparisons show that our proposed methods outperform the
state-of-the-art techniques by similar to 7 and similar to 6\% points
respectively on two popular benchmark datasets, and also lead to better
early detection results.",,2021,"T3 N: Harnessing Text and Temporal Tree Network
for Rumor Detection on Twitter Social media platforms have democratized the publication process
resulting into easy and viral propagation of information. However,
spread of rumors via such media often results into undesired and
extremely impactful political, economic, social, psychological and
criminal consequences. Several manual as well as automated efforts have
been undertaken in the past to solve this critical problem. Existing
automated methods are text based, user credibility based or use signals
from the tweet propagation tree. We aim at using the text, user,
propagation tree and temporal information jointly for rumor detection on
Twitter. This involves several challenges like how to handle text
variations on Twitter, what signals from user profile could be useful,
how to best encode the propagation tree information, and how to
incorporate the temporal signal. Our novel architecture, T-3 N (Text and
Temporal Tree Network), leverages deep learning based architectures to
encode text, user and tree information in a temporal-aware manner. Our
extensive comparisons show that our proposed methods outperform the
state-of-the-art techniques by similar to 7 and similar to 6\% points
respectively on two popular benchmark datasets, and also lead to better
early detection results.",0
Towards Intelligent Vision Surveillance for Police Information Systems,"Traditional surveillance systems detect suspicious activities with the
assistance of human operators watching screens showing video streams of
activities captured from different cameras, which often leads to fatigue
and failure to identify the suspicious activities. This is an area of
considerable interest for security agents like police carrying out
surveillance operations. Besides the current literature effort, this
research investigates how suspicious loitering in a location can be
detected before the crime occurs. Since human behavior is dynamic, this
research develops an intelligent vision framework based on an integrated
convolutional neural network (CNN) adaptive to specific locations at a
time rather than building a generalized model prone to errors. We
demonstrate the efficiency of the proposed system with preliminary
results obtained on real-life image frames captured from multiple
cameras. This model outperforms the conventional approaches in terms of
the detection of suspicious locations with an average Fl-score of
0.9666, a false positive rate of 0.0922, and an accuracy of 94.49\%. The
deployment of this new model can help to augment the work of police
information systems.","Image processing; Surveillance systems; Deep learning; Convolutional
neural network; Crime; Police information system",2022,"Towards Intelligent Vision Surveillance for Police Information Systems Traditional surveillance systems detect suspicious activities with the
assistance of human operators watching screens showing video streams of
activities captured from different cameras, which often leads to fatigue
and failure to identify the suspicious activities. This is an area of
considerable interest for security agents like police carrying out
surveillance operations. Besides the current literature effort, this
research investigates how suspicious loitering in a location can be
detected before the crime occurs. Since human behavior is dynamic, this
research develops an intelligent vision framework based on an integrated
convolutional neural network (CNN) adaptive to specific locations at a
time rather than building a generalized model prone to errors. We
demonstrate the efficiency of the proposed system with preliminary
results obtained on real-life image frames captured from multiple
cameras. This model outperforms the conventional approaches in terms of
the detection of suspicious locations with an average Fl-score of
0.9666, a false positive rate of 0.0922, and an accuracy of 94.49\%. The
deployment of this new model can help to augment the work of police
information systems. Image processing; Surveillance systems; Deep learning; Convolutional
neural network; Crime; Police information system",3
