node,size,mean_year,min_year,max_year,top_topics
cube39_cluster0,35,2019.2285714285715,2007,2025,{0: 35}
cube108_cluster1,33,2021.7575757575758,2017,2025,{1: 33}
cube176_cluster0,32,2022.875,2017,2025,"{5: 19, 12: 13}"
cube103_cluster0,32,2021.75,2015,2026,{3: 32}
cube16_cluster1,28,2020.4642857142858,2006,2025,{0: 28}
cube77_cluster0,28,2019.607142857143,2009,2025,{0: 28}
cube109_cluster0,26,2021.076923076923,2017,2025,{1: 26}
cube22_cluster0,24,2022.0,2012,2025,{0: 24}
cube14_cluster1,24,2018.5416666666667,2008,2024,{0: 24}
cube52_cluster0,24,2019.5416666666667,2008,2025,{0: 24}
cube75_cluster0,24,2021.0833333333333,2010,2025,{0: 24}
cube143_cluster0,23,2020.2173913043478,2008,2024,"{2: 17, 6: 6}"
cube175_cluster0,23,2022.0869565217392,2019,2025,{5: 23}
cube155_cluster1,23,2022.3478260869565,2016,2025,{2: 23}
cube38_cluster0,21,2018.904761904762,2007,2025,{0: 21}
cube25_cluster1,21,2019.6190476190477,2008,2025,{0: 21}
cube24_cluster1,20,2020.15,2008,2025,{0: 20}
cube31_cluster0,20,2022.4,2017,2025,{0: 20}
cube141_cluster0,19,2021.4736842105262,2016,2024,{2: 19}
cube55_cluster1,19,2021.0,2013,2025,{0: 19}
cube30_cluster0,19,2021.842105263158,2017,2025,{0: 19}
cube127_cluster0,18,2020.3333333333333,2008,2025,"{6: 17, 2: 1}"
cube54_cluster0,18,2021.5555555555557,2014,2025,{0: 18}
cube45_cluster0,18,2022.7222222222222,2017,2025,{0: 18}
cube56_cluster2,18,2022.888888888889,2017,2025,{0: 18}
cube44_cluster1,18,2020.888888888889,2013,2025,{0: 18}
cube5_cluster1,18,2022.888888888889,2020,2025,{0: 18}
cube4_cluster2,16,2023.25,2021,2025,{0: 16}
cube5_cluster0,16,2021.0,2016,2025,{0: 16}
cube156_cluster1,15,2021.6,2016,2025,{2: 15}
cube164_cluster0,15,2021.9333333333334,2006,2025,{7: 15}
cube27_cluster1,15,2019.8,2010,2025,{0: 15}
cube131_cluster0,15,2021.6666666666667,2017,2025,{9: 15}
cube151_cluster0,14,2020.642857142857,2013,2025,{4: 14}
cube92_cluster0,14,2022.142857142857,2017,2025,{3: 14}
cube157_cluster0,14,2021.857142857143,2018,2025,{2: 14}
cube35_cluster1,14,2023.0714285714287,2019,2025,{0: 14}
cube110_cluster0,14,2019.9285714285713,2015,2025,{1: 14}
cube161_cluster1,14,2023.642857142857,2017,2025,"{12: 13, 5: 1}"
cube136_cluster0,14,2020.642857142857,2013,2025,{4: 14}
cube12_cluster1,13,2020.3846153846155,2014,2024,{0: 13}
cube165_cluster1,13,2023.2307692307693,2017,2025,"{13: 12, 11: 1}"
cube43_cluster1,12,2018.75,2011,2024,{0: 12}
cube65_cluster1,12,2020.0,2009,2025,{0: 12}
cube27_cluster0,12,2016.5833333333333,2006,2025,{0: 12}
cube48_cluster0,12,2019.8333333333333,2015,2025,{0: 12}
cube85_cluster0,12,2021.5833333333333,2015,2026,{0: 12}
cube53_cluster0,12,2020.8333333333333,2011,2024,{0: 12}
cube23_cluster0,11,2020.4545454545455,2014,2025,{0: 11}
cube26_cluster1,11,2021.7272727272727,2012,2025,{0: 11}
cube62_cluster0,11,2022.2727272727273,2017,2025,{0: 11}
cube152_cluster1,11,2019.6363636363637,2007,2025,{8: 11}
cube142_cluster0,11,2021.2727272727273,2018,2024,{2: 11}
cube132_cluster0,11,2021.6363636363637,2017,2025,{9: 11}
cube3_cluster0,11,2021.0,2015,2025,{0: 11}
cube1_cluster0,11,2021.2727272727273,2018,2024,{0: 11}
cube15_cluster0,11,2022.909090909091,2021,2024,{0: 11}
cube54_cluster1,11,2020.8181818181818,2011,2025,{0: 11}
cube152_cluster0,11,2019.1818181818182,2008,2025,{14: 11}
cube165_cluster0,10,2023.1,2020,2025,{7: 10}
cube131_cluster1,10,2020.5,2015,2025,{10: 10}
cube78_cluster0,10,2019.5,2014,2024,{0: 10}
cube17_cluster0,10,2021.8,2020,2025,{0: 10}
cube43_cluster0,10,2020.8,2011,2025,{0: 10}
cube164_cluster1,10,2023.0,2017,2025,{13: 10}
cube63_cluster0,10,2021.4,2013,2025,{0: 10}
cube42_cluster0,9,2020.888888888889,2011,2024,{0: 9}
cube22_cluster1,9,2023.3333333333333,2019,2025,{0: 9}
cube17_cluster1,9,2016.3333333333333,2007,2024,{0: 9}
cube14_cluster0,9,2021.5555555555557,2018,2025,{0: 9}
cube151_cluster1,9,2021.0,2017,2026,{4: 9}
cube136_cluster1,9,2021.0,2017,2026,{4: 9}
cube92_cluster1,9,2024.111111111111,2022,2025,{3: 9}
